# Pi-hole allowlist
# format: status|domain|comment

enabled|delivery.vidible.tv|Video delivery systems, popular in entertainment and news sites. - qjz9zk
enabled|dev.virtualearth.net|Owned by Microsoft. Used by Bing Maps to get information about various places. For example, this domain should be whitelisted in order to select a store location on costco.com.  - qjz9zk
enabled|device.auth.xboxlive.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
enabled|discover.provider.plex.tv|
enabled|disney.my.sentry.io|Added from Query Log
enabled|display.ugc.bazaarvoice.com|To display Ratings &amp; Reviews or Questions &amp; Answers in online stores. - qjz9zk
enabled|displaycatalog.mp.microsoft.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
enabled|dl.delivery.mp.microsoft.com|Used to deliver updates to Microsoft products. - qjz9zk
enabled|dl.dropbox.com|Used to download files from Dropbox - qjz9zk
enabled|dl.dropboxusercontent.com|Used to download files from Dropbox - qjz9zk
enabled|dns.msftncsi.com|Owned by Microsoft. Used to check whether the internet connection is up or not in Windows systems.  - qjz9zk
enabled|doubleclick.net|
enabled|download.sonarr.tv|Sonarr is a PVR for Usenet and BitTorrent users. It can monitor multiple RSS feeds for new episodes of your favorite shows and will grab, sort and rename them. It can also be configured to automatically upgrade the quality of files already downloaded when a better quality format becomes available. - qjz9zk
enabled|dpbolvw.net|
enabled|drift.com|Live chat platform for websites to chat with the website owner. Blocking this domain will block chat widget. - qjz9zk
enabled|driftt.com|Live chat platform for websites to chat with the website owner. Blocking this domain will block chat widget. - qjz9zk
enabled|dynupdate.no-ip.com|No-IP offers DNS services, email, network monitoring and SSL certificates - qjz9zk
enabled|ecn.dev.virtualearth.net|Owned by Microsoft. Used by Bing Maps to get information about various places. For example, this domain should be whitelisted in order to select a store location on costco.com. - qjz9zk
enabled|edge.api.brightcove.com|Video delivery systems, popular in entertainment and news sites. - qjz9zk
enabled|eds.xboxlive.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
enabled|emjcd.com|
enabled|epg.provider.plex.tv|
enabled|et.tidal.com|Added from Query Log
enabled|eventbus.intuit.com|Added from Query Log
enabled|events.prd.api.discomax.com|Added from Query Log
enabled|evyy.net|
enabled|fonts.gstatic.com|Owned by Google. Used to deliver Google Fonts. - qjz9zk
enabled|forums.sonarr.tv|Sonarr is a PVR for Usenet and BitTorrent users. It can monitor multiple RSS feeds for new episodes of your favorite shows and will grab, sort and rename them. It can also be configured to automatically upgrade the quality of files already downloaded when a better quality format becomes available. - qjz9zk
enabled|g.live.com|Used by Microsoft for their Outlook.com and OneDrive products. Backup bitlocker recovery key to Microsoft account. - qjz9zk
enabled|g001-vod-us-cmaf-prd-fy.cdn.peacocktv.com|Added from Query Log
enabled|gan.doubleclick.net|
enabled|gdlp01.c-wss.com|
enabled|geo-prod.do.dsp.mp.microsoft.com|Enables connections to Windows Update. - qjz9zk
enabled|geo3.ggpht.com|Owned by Google. Used to deliver static files over the internet. - qjz9zk
enabled|gfwsl.geforce.com|Used for checking nVidia driver updates. - qjz9zk
enabled|giphy.com|Gifs hosting platform. - qjz9zk
enabled|github.com|GitHub provides hosting for software development and version control using Git. - qjz9zk
enabled|github.io|Owned by GitHub. Used for GitHub pages. - qjz9zk
enabled|go.redirectingat.com|
enabled|go.skimresources.com|
enabled|go2jump.org|
enabled|googleapis.com|An important domain used to provide APIs to various Google services. - qjz9zk
enabled|gopjn.com|
enabled|goto-target-com.customtraffic.impactradius.com|
enabled|goto.target.com|
enabled|gravatar.com|Owned by Automattic. Gravatar is a service for providing globally unique avatars - qjz9zk
enabled|gstatic.com|Owned by Google. gstatic.com is a cookieless domain to deliver static content for Google. - qjz9zk
enabled|help.ui.xboxlive.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
enabled|hls.ted.com|Used by ted.com streams. - qjz9zk
enabled|i.ytimg.com|Owned by Google. Used to deliver thumbails in YouTube. - qjz9zk
enabled|i1.ytimg.com|Owned by Google. Used to deliver thumbails in YouTube. - qjz9zk
enabled|imagesak.secureserver.net|GoDaddy webmail buttons - qjz9zk
enabled|imageservice.disco.peacocktv.com|
enabled|img.vidible.tv|Video delivery systems, popular in entertainment and news sites. - qjz9zk
enabled|imgix.net|Image placeholders often used during web page loading. - qjz9zk
enabled|imgs.xkcd.com|Used to deliver images on xkcd.com. - qjz9zk
enabled|instantmessaging-pa.googleapis.com|An important domain used to provide APIs to various Google services. - qjz9zk
enabled|intercom.io|Live chat platform for websites to chat with the website owner. Blocking this domain will block chat widget. - qjz9zk
enabled|jdoqocy.com|
enabled|jquery.com|jQuery is a JavaScript library. Also used to deliver the files over CDN. - qjz9zk
enabled|jsdelivr.net| jsDelivr is a free public CDN for open-source projects. It can serve web files directly from the npm registry and GitHub repositories without any configuration. - qjz9zk
